QUID,DWEIGHT_LIVE_FINAL,CS01,CS01_1,CS02,CS02_2,MTS01,MTS02,MTS03,MTS03_1,LMS01,LMS02,LMS02_1,LMS02_s,LMS03,LMS04,LMS05,LMS06,LMS07,LMS07_1,LMS07_2,LMS07_3a,LMS07_3b,LMS08,LMS08_s,LMS09a,LMS09b,LMS09c,LMS09d,LMS09e,LMS09f,LMS09g,LMS09f_s,SMS01a,SMS01b,SMS01c,SMS01d,SMS01d_s,SMS02,SMS03a,SMS03b,SMS03c,SMS03d,SMS04a,SMS04b,SMS04c,SMS04d,SMS04e,SMS04f,SMS04e_s,SMS05,MLA01,MLA02,MLA03,MLA03_1,MLA04,MLA04_1,LMA01,LMA02a_LS,LMA02b_LS,LMA02c_LS,LMA02d_LS,LMA02e_LS,LMA02f_LS,LMA02g_LS,LMA02h_LS,LMA02i_LS,LMA02j_LS,LMA02k_LS,LMA02l_LS,LMA02m_LS,LMA02n_LS,LMA02o_LS,LMA02p_LS,LMA02q_LS,LMA02r_LS,LMA02s_LS,LMA02f_1_LS,LMA02m_1_LS,LMA02q_1_LS,LMA02s_s_LS,LMA03a,LMA03b,LMA03c,LMA03d,LMA04a,LMA04b,LMA04c,LMA04d,LMA04e,LMA05a,LMA05b,LMA05c,LMA05d,LMA05d_1,SMA01,SMA02a,SMA02b,SMA02c,SMA02d,SMA03a,SMA03b,SMA03b_1,SMA04a,SMA04b,SMA04c,SMA04d,SMA04e,PLMA01,PLMA02a_LS,PLMA02b_LS,PLMA02c_LS,PLMA02d_LS,PLMA03a,PLMA03b,PLMA03c,PLMA03d,PLMA03e,PLMA04,PLMA05a,PLMA05b,PLMA05c,PLMA05d,PLMA05d_1,PSMA01,PSMA02a,PSMA02b,PSMA02c,PSMA02d,PSMA03a,PSMA03b,PSMA03c,PSMA03d,PSMA03e,PSMA04,PSMA05,MS04a,MS04b,MS04c,MS04b_s,MS04c_s,SECTORID,PLMA02a,PLMA02b,PLMA02c,PLMA02d,LMA02a,LMA02b,LMA02c,LMA02d,LMA03e,LMA04d_1,prov,ECO,prov_eco,mostcommonbe,mostcommonda,mostcommonpi,mostcommonpo
Q34749160,9.033689195,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,47,10,4710,3,,,
Q34749164,3.253888651,1,2,1,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,3,3,,,,,,1,,2,1,,3,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,100,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,"Video, field data collection GPS & Drones, barn air quality water cons",,3,,,,,,,,,,,35,3,3503,,,,3
Q34749170,39.43858917,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,app through clearwater county to view fields,,2,,,,,,,,,,,48,10,4810,3,,,
Q34749178,5.874165128,3,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,Cameras in calving area,,2,,,,,,,,,,,46,9,4609,3,,,
Q34749179,3.4974593,,,,,1,1,3,,1,6,,,3,3,45000,8,3,,,110,50,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,35,4,3504,,1,,
Q34749181,21.00509693,3,,,,1,3,3,,3,5,,,,3,2200,12,2,,92,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,,50,30,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,,"ventilation, alimentation et traite",1,,,,,,,,,,,24,2,2402,,1,,
Q34749184,3.463467052,3,,1,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,3,3,3,3,1,,,,,,,2,1,,3,,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,10,40,15,,1,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,35,4,3504,,1,,
Q34749192,10.00409112,3,,3,,1,3,3,,3,3,,,,3,478000,12,2,,90,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,40,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,50,50,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,35,3,3503,,1,,
Q34749201,10.81926284,,,,,1,1,3,,1,2,,,3,4,,,2,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,24,1,2401,,1,,
Q34749202,3.481512781,,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,3,,,,,,1,,2,1,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50,0,50,0,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"barn ventilation, lighting and alarm system",3,,,,,,,,,,,35,3,3503,,,,3
Q34749229,10.9767296,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,10,4810,3,,,
Q34749235,2.84896702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,35,4,3504,,,99,
Q34749237,39.15962479,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,3,3,3,3,,,,,,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,10,4810,3,,,
Q34749245,3.476175317,3,,1,5,1,1,3,,1,1,2,,2,3,150000,8,2,,80,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,55,1,150,2,,,,,,1,,,,,,,,1,,,,,,2,,,,10,,30,60,1,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,35,4,3504,,1,,
Q34749248,26.63603305,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,3,3,3,,,,,,1,,1,1,,1,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,100,1,,,,1,3,,,,,,,2,,,,,,,,,,,35,3,3503,2,,,
Q34749249,2.73094555,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,Auto steer,2,,,,,,,,,,,59,11,5911,3,,,
Q34749255,6.364450413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,24,2,2402,,,99,
Q34749266,3.244526878,,,1,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,inside a covered manure building attached to hen barn by manure conveyor,,1,1,1,3,,,,,,1,,2,1,,,,1,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,50,50,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"barn/yard video, feed/water consumption, barn/egg cooler temp & humidity","egg collection, feed systems, barn ventilation, lighting, manure belts",3,,,,,,,,,,,35,3,3503,,,,2
Q34749273,3.48516824,3,,,,1,1,3,,1,4,,,4,3,700000,8,3,,,190,70,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,10,50,40,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q34749280,3.836041301,3,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,59,12,5912,,,,3
Q34749282,10.42658667,1,1,1,1,1,1,3,,1,3,,,4,4,1825000,12,2,,150,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,100,1,200,5,,,,,,1,,,,,,,,1,,,,,,2,,,,50,0,50,,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,feed pusher,1,,,,,,,,,,,35,3,3503,,1,,
Q34749287,10.58625875,3,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,3,3,,,,,,1,,1,1,,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,45,45,1,,,,,1,3,1,,,,,1,,,,,,,,,,,35,3,3503,,1,,
Q34749291,2.807712813,,,1,5,1,1,1,4,1,2,,,4,3,1600000,12,3,,,200,300,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,252,2,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,3,,50,,30,20,1,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"barn ventilation controller, feed controller",4,,,,,,,,,,,35,4,3504,,,2,
Q34749292,10.77100565,3,,,,1,1,3,,1,4,,,4,4,36000,12,2,,110,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,50,50,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,24,1,2401,,1,,
Q34749293,16.00645631,3,,1,3,1,1,3,,3,2,,,,4,750,12,3,,,300,200,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,50,1,100,5,,,,,,1,,,,,,,,,,,,,,1,,,,75,,25,,1,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,Feed delivery,1,,,,,,,,,,,35,2,3502,,1,,
Q34749296,2.644124117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,48,7,4807,99,,,
Q34749300,2.928635922,1,5,1,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,3,3,3,3,1,,,,,,,2,1,,1,25,1,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,100,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"air quality , feed and water",Gps,3,,,,,,,,,,,48,8,4808,,,,3
Q34749303,9.197313649,,,,,1,1,1,5,1,4,,,1,3,1708,366,2,,7997,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,24,1,2401,,,1,
Q34749304,3.578827957,,,1,5,1,3,1,4,3,6,,,,3,1000000,8,3,,,300,60,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,100,2,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,,,,,,100,1,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,35,3,3503,,,,3
Q34749307,25.27892947,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,35,3,3503,3,,,
Q34749310,44.23465439,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,3,3,3,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,47,7,4707,3,,,
Q34749314,25.06250028,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,3,,,,,,1,,2,1,,1,40,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,10,90,1,,,,,3,,,,,,,2,,,,,,,,,,,35,3,3503,3,,,
Q34749315,2.118436711,,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,3,3,1,1,1,,,,,2,1,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,100,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,35,3,3503,,3,,
Q34749319,41.44774925,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,48,8,4808,3,,,
Q34749326,5.777886824,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,46,9,4609,3,,,
Q34749339,16.90813939,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,47,8,4708,3,,,
Q34749344,2.925657775,3,,1,5,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,30,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,100,,,,1,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,10,4810,2,,,
Q34749346,10.5830174,3,,3,,1,3,3,,1,5,,,4,3,704054,12,2,,100,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,95,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,50,50,1,,,,,2,,,,1,2,,,,,,,,,,,,,1,1,1,thermostat,"barn ventilation,",1,,,,,,,,,,,35,3,3503,,1,,
Q34749352,5.942625163,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Covered Manure Storage,,1,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"Feed, Water, Temperature and Bird Weights (Avg, Min, Max)","egg collection, ventilation, lighting, heating",3,,,,,,,,,,,35,4,3504,,,,2
Q34749355,33.58527607,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,7,4807,3,,,
Q34749357,11.29968399,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,3,3,3,,,,,,1,,1,1,,1,20,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,100,0,0,0,1,,,,,3,,1,1,,videt survellance,,2,,,,,,,,,,,35,3,3503,3,,,
Q34749366,3.469654577,3,,3,,1,1,1,4,3,3,,,,3,700000,12,2,,110,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,50,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,75,0,25,0,1,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,CCTV used for calving pen,,1,,,,,,,,,,,35,4,3504,,1,,
Q34749368,10.67577129,3,,3,,1,1,3,,3,4,,,,3,800000,13,2,,96,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,165,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,25,75,1,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,24,1,2401,,1,,
Q34749375,1.297969768,,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,program seeding,,2,,,,,,,,,,,48,10,4810,1,,,
Q34749379,8.605300885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,7,4807,99,,,
Q34749380,10.44196642,3,,1,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3,3,3,1,,,,,,,3,1,,1,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,100,1,,,,,3,,,,,,,2,,,,,,,,,,,47,6,4706,3,,,
Q34749387,11.25732085,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,48,10,4810,3,,,
Q34749393,2.864967103,,,1,5,1,1,3,,3,6,,,,3,200000,5,3,,,120,84,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,120,5,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,3,,30,,20,50,,1,1,1,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,35,4,3504,,,2,
Q34749402,4.210503118,3,,1,5,1,1,1,3,3,6,,,,3,,8,3,,,252,52,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,1,50,5,,,,,,1,,,,,,,,,,,,,,2,,,,,,,100,,1,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,35,3,3503,,,2,
Q34749405,2.391572981,3,,3,,1,3,3,,1,4,,,4,3,1440,12,3,,,12,120,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,73,1,96,5,,,,,,1,,,,,,,,,,,,,,2,,,,60,0,40,0,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,35,3,3503,,,,2
Q34749412,45.47017428,3,,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,3,3,3,3,,,,,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,47,6,4706,3,,,
Q34749415,26.9797238,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,35,3,3503,3,,,
Q34749423,35.62147806,3,,3,,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3,3,3,1,,,,,,,3,1,,3,,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,100,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Video cameras for calving,Sprayer GPS,2,,,,,,,,,,,47,10,4710,3,,,
Q34749464,2.959032839,3,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,heat and ventilation,3,,,,,,,,,,,59,12,5912,,,,3
Q34749465,3.249847453,1,1,3,,1,1,1,1,1,2,,,3,4,1200000,14,3,,,250,120,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,160,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,70,15,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q34749466,3.535074955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,46,9,4609,,,99,
Q34749475,3.398080185,,,1,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,,,,,,1,1,,,,1,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,0,30,40,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ventilation lighting feed,3,,,,,,,,,,,35,3,3503,,,,3
Q34749476,32.12504668,3,,1,4,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,100,,,,1,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,livestock video surveillance,GPS controlled field operations,2,,,,,,,,,,,48,7,4807,3,,,
Q34749483,9.716157819,3,,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,3,3,3,,,,,,1,,1,1,,3,,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,100,0,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,47,6,4706,3,,,
Q34749494,3.461615096,3,,1,1,1,1,3,,3,2,,,,4,1750000,15,3,,,210,160,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,100,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,50,50,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,35,4,3504,,1,,
Q34749498,2.763689075,,,1,5,1,1,3,,1,2,,,3,3,2500000,12,3,,,280,170,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,770,3,,.,.,,.,,,,.,.,.,,,,.,,,,,,,1,,50,,50,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"GPS for field operations, computer controlled ventilation in all barns",4,,,,,,,,,,,48,7,4807,,,2,
Q34749505,34.38644586,3,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,100,1,,,,,1,6,1,1,1,Drones,Gps,2,,,,,,,,,,,47,6,4706,3,,,
Q34749507,21.27759313,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,46,8,4608,3,,,
Q34749509,47.72943895,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,100,,,,1,,3,,1,,,,,2,,,,,,,,,,,47,8,4708,3,,,
